department,course_title,meeting_type,weekdays,start_time,end_time,class_time,room,building
ECO,Introductory Economics,lecture,MWF,0930,1020,0930 - 1020am,157,Watson Life Sciences Building
ECO,Intermed Microeconomic Theory,lecture,TR,0940,1055,0940 - 1055am,3155,Chambers Building
ECO,Intermed Microeconomic Theory,lecture,TR,1215,1330,1215 - 0130pm,119,Watson Life Sciences Building
ECO,Intermed Macroeconomic Theory,lecture,TR,0815,0930,0815 - 0930am,3155,Chambers Building
ECO,Intermed Macroeconomic Theory,lecture,TR,1215,1330,1215 - 0130pm,3155,Chambers Building
ECO,Stats & Basic Econometrics,second meeting time,T,1340,1455,0140 - 0255pm,2187,Chambers Building
ECO,Stats & Basic Econometrics,lecture,MWF,0930,1020,0930 - 1020am,2084,Chambers Building
ECO,Stats & Basic Econometrics,second meeting time,T,1505,1620,0305 - 0420pm,2068,Chambers Building
ECO,Stats & Basic Econometrics,lecture,MWF,1130,1220,1130 - 1220pm,2234,Chambers Building
ECO,Econometrics,second meeting time,R,1340,1455,0140 - 0255pm,108,Visual Arts Center
ECO,Econometrics,lecture,TR,0815,0930,0815 - 0930am,2198,Chambers Building
ECO,Econometrics,second meeting time,R,1505,1620,0305 - 0420pm,117,Visual Arts Center
